R1/R2
Excited states (eigenvectors of M)

========================================
STATE 1  E = -1.860537937921
========================================
Excitations | Coefficients
6^, 2	| -1.6961487826343418e-14
5^, 3	| -0.6867423563881506
7^, 3	| 1.0501212647539286e-14
4^, 05^, 1	| -1.7591521685738312e-15
4^, 07^, 1	| -0.04675811771282213
6^, 05^, 1	| 0.046790013108707236
6^, 07^, 1	| 2.9648425949726005e-17
4^, 06^, 2	| -5.608451621995902e-15
4^, 05^, 3	| -0.14827476986941565
4^, 07^, 3	| -1.6769040118764963e-14
6^, 05^, 3	| -8.944013256618688e-15
6^, 07^, 3	| 0.03082353978967165
5^, 14^, 2	| 0.1482799054460071
5^, 16^, 2	| -7.522423887855393e-15
7^, 14^, 2	| -1.2300596533812161e-14
7^, 16^, 2	| -0.030865942676982186
5^, 17^, 3	| -9.380497843578545e-15
4^, 25^, 3	| -1.0081348016631296e-14
4^, 27^, 3	| 0.09490214062295149
6^, 25^, 3	| -0.09497909809245592
6^, 27^, 3	| 8.897762822848448e-15

========================================
STATE 6  E = -1.466832841964
========================================
Excitations | Coefficients
4^, 0	| -0.4239565685871914
6^, 0	| -3.531324527233074e-14
5^, 1	| -0.437728138342371
7^, 1	| -5.1637090555459255e-15
4^, 2	| -1.4150003383709744e-14
6^, 2	| 0.5168311365558956
5^, 3	| -2.2786586177113493e-15
7^, 3	| 0.5249292771420547
4^, 05^, 1	| 0.0005875660056341488
4^, 07^, 1	| 4.001088708484559e-14
6^, 05^, 1	| 3.224040591469172e-14
6^, 07^, 1	| 0.00022350233589777654
4^, 06^, 2	| -0.14771524081644727
4^, 05^, 3	| 4.2583936400930346e-15
4^, 07^, 3	| 0.04334863156036546
6^, 05^, 3	| 0.13910146009231966
6^, 07^, 3	| 1.5634848368303966e-14
5^, 14^, 2	| 6.1659417561705685e-15
5^, 16^, 2	| -0.04327805852333191
7^, 14^, 2	| -0.13896125461707973
7^, 16^, 2	| 2.7555502986930538e-14
5^, 17^, 3	| 0.1475023480554258
4^, 25^, 3	| 0.00041026322581282375
4^, 27^, 3	| -9.354041793668142e-15
6^, 25^, 3	| 1.8591963208516712e-14
6^, 27^, 3	| -0.0009465167402756479

========================================
STATE 7  E = -1.441632414832
========================================
Excitations | Coefficients
4^, 0	| 0.5854443394995545
6^, 0	| 5.850550873751353e-16
5^, 1	| -0.5708719140134784
7^, 1	| 2.809031167236017e-15
4^, 2	| 2.5992290803066614e-15
6^, 2	| 0.2668056396966578
5^, 3	| -3.8831523459970816e-14
7^, 3	| -0.26616113363327454
4^, 05^, 1	| 0.1013704610627853
4^, 07^, 1	| 4.570426685741973e-14
6^, 05^, 1	| 4.596324829568077e-14
6^, 07^, 1	| 0.0916710205003733
4^, 06^, 2	| -0.055712128912636674
4^, 05^, 3	| 1.9637954640816078e-14
4^, 07^, 3	| 0.11832848330556009
6^, 05^, 3	| -0.06202790674359634
6^, 07^, 3	| 3.560704975585848e-14
5^, 14^, 2	| 6.590767745265972e-15
5^, 16^, 2	| 0.11762623485461442
7^, 14^, 2	| -0.06133061839422384
7^, 16^, 2	| 3.601977590269011e-14
5^, 17^, 3	| -0.05688308927132472
4^, 25^, 3	| 0.31932815367344874
4^, 27^, 3	| 4.841851494157913e-15
6^, 25^, 3	| -6.38262558679188e-15
6^, 27^, 3	| -0.1640035804345906

========================================
STATE 8  E = -1.378029612885
========================================
Excitations | Coefficients
4^, 0	| 0.038783256013483286
6^, 0	| -2.7146539285050987e-13
5^, 1	| -0.038356078776882005
7^, 1	| 1.4453736065131987e-15
4^, 2	| 4.539641797564494e-14
6^, 2	| -0.5202676578172184
5^, 3	| 1.0844246835756227e-13
7^, 3	| 0.5112920273501874
4^, 05^, 1	| -0.06270057550796848
4^, 07^, 1	| 7.798358933947871e-14
6^, 05^, 1	| 1.8089064444398292e-13
6^, 07^, 1	| 0.17824978511819212
4^, 06^, 2	| -0.05955817287032574
4^, 05^, 3	| 2.226139049191855e-13
4^, 07^, 3	| 0.23815568830439351
6^, 05^, 3	| -0.17934098065348253
6^, 07^, 3	| -5.6157023104279104e-14
5^, 14^, 2	| 5.173153671092323e-13
5^, 16^, 2	| 0.23959024383239785
7^, 14^, 2	| -0.17971423119725563
7^, 16^, 2	| -6.181116273718483e-14
5^, 17^, 3	| -0.05913132568744601
4^, 25^, 3	| 0.48067315072994554
4^, 27^, 3	| -3.059677816942631e-13
6^, 25^, 3	| -2.1078594317737603e-13
6^, 27^, 3	| 0.11202666063854184

========================================
STATE 9  E = -1.371764475681
========================================
Excitations | Coefficients
4^, 0	| -3.438642814174777e-14
6^, 0	| -0.28334523097393083
5^, 1	| 3.0106750152926255e-14
7^, 1	| -0.28197214589847996
4^, 2	| 0.18947020949148816
6^, 2	| 3.5943968727558834e-13
5^, 3	| 0.18696113960111155
7^, 3	| -3.772600408861596e-13
4^, 05^, 1	| 3.9251724052143146e-14
4^, 07^, 1	| 0.10236261407688885
6^, 05^, 1	| 0.10122990247346482
6^, 07^, 1	| -1.2934250326359285e-13
4^, 06^, 2	| 3.117843204538099e-14
4^, 05^, 3	| 0.519619943191224
4^, 07^, 3	| -1.775238884409373e-13
6^, 05^, 3	| 1.0114499676343198e-13
6^, 07^, 3	| -0.11477697177547136
5^, 14^, 2	| 0.5161903506278046
5^, 16^, 2	| -2.0012193327906807e-13
7^, 14^, 2	| 1.3439362478910791e-13
7^, 16^, 2	| -0.11477244886282688
5^, 17^, 3	| 3.8491108679353126e-14
4^, 25^, 3	| -3.39541970128588e-13
4^, 27^, 3	| -0.30418588527267676
6^, 25^, 3	| -0.30544275828746364
6^, 27^, 3	| -7.410646551321714e-14

========================================
STATE 10  E = -1.367417133529
========================================
Excitations | Coefficients
4^, 0	| -6.519084212793054e-15
6^, 0	| 0.3044839645734053
5^, 1	| -1.1640579329355273e-14
7^, 1	| -0.30802080761332923
4^, 2	| 0.08663956893589306
6^, 2	| -1.4771945428359349e-13
5^, 3	| -0.08815500618678458
7^, 3	| 1.6347792118056556e-13
4^, 05^, 1	| -2.141317351486404e-14
4^, 07^, 1	| 0.18272765179177694
6^, 05^, 1	| -0.18393691616116864
6^, 07^, 1	| 5.444618685050391e-14
4^, 06^, 2	| -1.2538306329708754e-14
4^, 05^, 3	| 0.540531714720015
4^, 07^, 3	| 7.423238095226182e-14
6^, 05^, 3	| -4.694346389153491e-14
6^, 07^, 3	| 0.018013982457085537
5^, 14^, 2	| -0.5441516200395874
5^, 16^, 2	| 6.638209676076951e-14
7^, 14^, 2	| -5.1686384168248146e-14
7^, 16^, 2	| -0.01741888428894111
5^, 17^, 3	| -2.411457152970474e-14
4^, 25^, 3	| 1.3984820333908496e-13
4^, 27^, 3	| 0.2669152190534366
6^, 25^, 3	| -0.2641318194603588
6^, 27^, 3	| 2.959588943632467e-14

========================================
STATE 11  E = -1.344436514811
========================================
Excitations | Coefficients
4^, 0	| 4.995681289305889e-14
6^, 0	| -0.4409434242978573
5^, 1	| -3.595530616676388e-14
7^, 1	| -0.43928069279372206
4^, 2	| 0.29612329881558713
6^, 2	| -6.65547246209657e-14
5^, 3	| 0.29312750710232505
7^, 3	| 9.148284543669207e-14
4^, 05^, 1	| -3.922636453891423e-14
4^, 07^, 1	| -0.23512663681897367
6^, 05^, 1	| -0.2343569340860429
6^, 07^, 1	| 3.2005973726425247e-14
4^, 06^, 2	| 9.226129559315658e-15
4^, 05^, 3	| -0.07877049732051028
4^, 07^, 3	| 5.426409526054055e-14
6^, 05^, 3	| -1.3718954292943058e-14
6^, 07^, 3	| -0.042433956245358735
5^, 14^, 2	| -0.07624794550688284
5^, 16^, 2	| 3.2192168858688166e-14
7^, 14^, 2	| -1.6322659605684523e-15
7^, 16^, 2	| -0.04146719377872709
5^, 17^, 3	| -2.514110231179646e-14
4^, 25^, 3	| 5.687817767177413e-14
4^, 27^, 3	| 0.39390902761627794
6^, 25^, 3	| 0.39759009898063224
6^, 27^, 3	| -1.1519939397834516e-14

========================================
STATE 12  E = -1.334570074833
========================================
Excitations | Coefficients
4^, 0	| 7.95472856317995e-15
6^, 0	| 0.5901398709438658
5^, 1	| -1.8794896123713948e-14
7^, 1	| -0.5943067336861708
4^, 2	| 0.003590771979799433
6^, 2	| -4.44456011011925e-14
5^, 3	| -0.006394185747202844
7^, 3	| 4.6918263335530804e-14
4^, 05^, 1	| -1.3466344741666014e-14
4^, 07^, 1	| -0.03270350241965428
6^, 05^, 1	| 0.03464528459478982
6^, 07^, 1	| 1.5968120517186633e-14
4^, 06^, 2	| -8.498807448867401e-15
4^, 05^, 3	| -0.15630901129258365
4^, 07^, 3	| 2.3593403938887172e-14
6^, 05^, 3	| -2.1034622690255094e-14
6^, 07^, 3	| -0.10638147345073709
5^, 14^, 2	| 0.15625915639998147
5^, 16^, 2	| 1.9728158724604094e-14
7^, 14^, 2	| -9.213007042576577e-16
7^, 16^, 2	| 0.10679585358566282
5^, 17^, 3	| 6.294064938968127e-15
4^, 25^, 3	| 3.0862329457015955e-14
4^, 27^, 3	| -0.3368117882898102
6^, 25^, 3	| 0.33346193337466007
